200 CRADLE MOUNTAIN CT,EL DORADO HILLS,95762,CA,0,0,0,Residential,Fri May 16 00:00:00 EDT 2008,622500,38.6478,-121.0309
2065 IMPRESSIONIST WAY,EL DORADO HILLS,95762,CA,0,0,0,Residential,Fri May 16 00:00:00 EDT 2008,680000,38.682961,-121.033253
2982 ABERDEEN LN,EL DORADO HILLS,95762,CA,4,3,0,Residential,Fri May 16 00:00:00 EDT 2008,879000,38.706692,-121.058869
9401 BARREL RACER CT,WILTON,95693,CA,4,3,4400,Residential,Fri May 16 00:00:00 EDT 2008,884790,38.415298,-121.194858
3720 VISTA DE MADERA,LINCOLN,95648,CA,3,3,0,Residential,Fri May 16 00:00:00 EDT 2008,1551,38.851645,-121.231742
14151 INDIO DR,SLOUGHHOUSE,95683,CA,3,4,5822,Residential,Fri May 16 00:00:00 EDT 2008,2000,38.490447,-121.129337
7401 TOULON LN,SACRAMENTO,95828,CA,4,2,1512,Residential,Thu May 15 00:00:00 EDT 2008,56950,38.488628,-121.387759
9127 NEWHALL DR Unit 34,SACRAMENTO,95826,CA,1,1,611,Condo,Thu May 15 00:00:00 EDT 2008,60000,38.542419,-121.359904
5937 BAMFORD DR,SACRAMENTO,95823,CA,2,1,876,Residential,Thu May 15 00:00:00 EDT 2008,61000,38.471139,-121.432255
5672 HILLSDALE BLVD,SACRAMENTO,95842,CA,2,1,933,Condo,Thu May 15 00:00:00 EDT 2008,62000,38.670467,-121.359799
3920 39TH ST,SACRAMENTO,95820,CA,2,1,864,Residential,Thu May 15 00:00:00 EDT 2008,68566,38.539213,-121.46393
701 JESSIE AVE,SACRAMENTO,95838,CA,2,1,1011,Residential,Thu May 15 00:00:00 EDT 2008,70000,38.643978,-121.449562
83 ARCADE BLVD,SACRAMENTO,95815,CA,4,2,1158,Residential,Thu May 15 00:00:00 EDT 2008,80000,38.618716,-121.466327
601 REGGINALD WAY,SACRAMENTO,95838,CA,3,2,1092,Residential,Thu May 15 00:00:00 EDT 2008,85500,38.64472,-121.452228
550 DEL VERDE CIR,SACRAMENTO,95833,CA,2,1,956,Condo,Thu May 15 00:00:00 EDT 2008,92000,38.627147,-121.500799
4113 DAYSTAR CT,SACRAMENTO,95824,CA,2,2,1139,Residential,Thu May 15 00:00:00 EDT 2008,93600,38.520469,-121.458606
7374 TISDALE WAY,SACRAMENTO,95822,CA,3,1,1058,Residential,Thu May 15 00:00:00 EDT 2008,95000,38.488238,-121.472561
3348 RIO LINDA BLVD,SACRAMENTO,95838,CA,3,2,1040,Residential,Thu May 15 00:00:00 EDT 2008,97750,38.628842,-121.446127
3935 LIMESTONE WAY,SACRAMENTO,95823,CA,3,2,1354,Residential,Thu May 15 00:00:00 EDT 2008,104000,38.484374,-121.463157
6208 GRATTAN WAY,NORTH HIGHLANDS,95660,CA,3,1,1051,Residential,Thu May 15 00:00:00 EDT 2008,105000,38.679279,-121.376615
739 E WOODSIDE LN Unit E,SACRAMENTO,95825,CA,1,1,682,Condo,Thu May 15 00:00:00 EDT 2008,107666,38.578675,-121.409951
4225 46TH AVE,SACRAMENTO,95824,CA,3,1,1161,Residential,Thu May 15 00:00:00 EDT 2008,109000,38.511893,-121.457676
1434 BELL AVE,SACRAMENTO,95838,CA,3,1,1004,Residential,Thu May 15 00:00:00 EDT 2008,110000,38.647398,-121.432914
5628 GEORGIA DR,NORTH HIGHLANDS,95660,CA,3,1,1229,Residential,Thu May 15 00:00:00 EDT 2008,110000,38.669587,-121.379879
7629 BETH ST,SACRAMENTO,95832,CA,3,2,1249,Residential,Thu May 15 00:00:00 EDT 2008,112500,38.480126,-121.487869
2277 BABETTE WAY,SACRAMENTO,95832,CA,3,2,1161,Residential,Thu May 15 00:00:00 EDT 2008,114800,38.479593,-121.48434
6561 WEATHERFORD WAY,SACRAMENTO,95823,CA,3,1,1010,Residential,Thu May 15 00:00:00 EDT 2008,116000,38.465551,-121.42661
3035 ESTEPA DR Unit 5C,CAMERON PARK,95682,CA,0,0,0,Condo,Thu May 15 00:00:00 EDT 2008,119000,38.681393,-120.996713
5136 CABOT CIR,SACRAMENTO,95820,CA,4,2,1462,Residential,Thu May 15 00:00:00 EDT 2008,121500,38.528479,-121.411806
7730 ROBINETTE RD,SACRAMENTO,95828,CA,3,2,1269,Residential,Thu May 15 00:00:00 EDT 2008,122000,38.47709,-121.410569
